City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atafu village,-8.5421,-172.5159,84.27,77,14,13.85,TK,1683667168
1,olonkinbyen,70.9221,-8.7187,36.75,99,100,9.17,SJ,1683667168
2,kapuskasing,49.4169,-82.4331,66.15,40,9,4.83,CA,1683666907
3,kutum,14.2,24.6667,80.51,14,76,6.4,SD,1683667170
4,puerto natales,-51.7236,-72.4875,41.45,70,0,9.22,CL,1683667087
5,ribadeo,43.5325,-7.0991,50.77,91,4,3.49,ES,1683667171
6,waitangi,-43.9535,-176.5597,60.82,96,100,15.01,NZ,1683667171
7,adamstown,-25.066,-130.1015,71.04,54,87,10.33,PN,1683667173
8,lompoc,34.6391,-120.4579,71.02,67,75,11.01,US,1683667173
9,calheta,32.7167,-17.1833,71.71,74,7,5.01,PT,1683667174
10,kisanga,-7.4362,37.7034,71.87,83,67,1.97,TZ,1683667174
11,port-aux-francais,-49.35,70.2167,40.19,97,99,33.8,TF,1683667174
12,antsiranana,-12.2787,49.2917,76.44,74,0,12.66,MG,1683667174
13,aasiaat,68.7098,-52.8699,29.48,77,100,6.78,GL,1683667175
14,tyukhtet,56.5389,89.3011,35.24,77,45,4.59,RU,1683667175
15,iqaluit,63.7506,-68.5145,29.93,69,20,4.61,CA,1683667175
16,edinburgh of the seven seas,-37.0676,-12.3116,57.49,71,97,23.15,SH,1683667175
17,saint-pierre,-21.3393,55.4781,74.88,73,0,5.75,RE,1683667175
18,sao jose da coroa grande,-8.8978,-35.1478,78.39,83,63,6.93,BR,1683667128
19,chonchi,-42.6128,-73.8092,57.11,95,79,0.25,CL,1683667176
20,longyearbyen,78.2186,15.6401,30.04,80,75,10.36,SJ,1683667176
21,onega,63.9061,38.1404,39.49,83,89,2.64,RU,1683667176
22,tazovsky,67.4667,78.7,12.81,95,100,8.57,RU,1683667176
23,dabhol,17.6,73.1667,81.41,78,100,4.36,IN,1683667175
24,blackmans bay,-43.0167,147.3167,49.73,82,68,9.71,AU,1683667177
25,lihue,21.9789,-159.3672,75.74,84,100,12.66,US,1683667177
26,hawaiian paradise park,19.5933,-154.9731,77.04,89,100,6.91,US,1683667177
27,bethel,41.3712,-73.414,69.42,30,0,10.36,US,1683667177
28,gas city,40.4873,-85.613,73.06,36,0,10.36,US,1683667178
29,saldanha,-33.0117,17.9442,61.05,74,40,9.57,ZA,1683667178
30,rancheria payau,7.8541,123.1598,72.61,92,21,2.21,PH,1683667178
31,prince rupert,54.3161,-130.3201,57.29,61,0,6.91,CA,1683667179
32,xinzhou,38.4092,112.7333,53.55,53,100,0.4,CN,1683667179
33,hermanus,-34.4187,19.2345,59.81,81,77,6.26,ZA,1683667179
34,lysyye gory,51.5506,44.8414,39.94,67,92,8.46,RU,1683667179
35,nambucca heads,-30.65,153.0,57.2,76,1,8.01,AU,1683667179
36,ushuaia,-54.8,-68.3,35.26,69,20,4.61,AR,1683667150
37,morondava,-20.2833,44.2833,74.8,77,28,5.17,MG,1683667180
38,pietermaritzburg,-29.6168,30.3928,59.34,89,96,1.83,ZA,1683667157
39,bilibino,68.0546,166.4372,22.89,91,100,3.29,RU,1683667180
40,grytviken,-54.2811,-36.5092,34.05,92,100,3.04,GS,1683667180
